rank,faixa,artista,scrobbles,na_playlist
1,ghostin,Ariana Grande,3143,sim
2,Don't Know What to Do,BLACKPINK,1789,sim
3,Thinking Bout You,Ariana Grande,1742,sim
4,FEARLESS,LE SSERAFIM,1509,sim
5,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM,1496,sim
6,just like magic,Ariana Grande,1495,sim
7,Você Me Perdeu,Jão,1494,sim
8,WANNABE,ITZY,1409,sim
9,CACHORRINHAS,Luísa Sonza,1403,sim
10,LOVE DIVE,IVE,1187,sim
11,Doce,Jão,1169,sim
12,Psycho,Red Velvet,1161,sim
13,7 rings,Ariana Grande,1155,sim
14,WA DA DA,Kep1er,1107,sim
15,Kitsch,IVE,1084,sim
16,Everyday,Ariana Grande,1080,sim
17,Lovesick Girls,BLACKPINK,1068,sim
18,Whistle,Brave Girls,1009,sim
19,Clarão,Jão,989,sim
20,imagine,Ariana Grande,968,sim
21,ELEVEN,IVE,900,sim
22,달라달라 (DALLA DALLA),ITZY,892,sim
23,Talk that Talk,TWICE,885,sim
24,Hype Boy,NewJeans,872,sim
25,Goodbye,Carlie Hanson,864,sim
26,Envolver,Anitta,862,sim
27,ANTIFRAGILE,LE SSERAFIM,849,sim
28,Fast Forward,JEON SOMI,835,sim
29,Fine,TAEYEON,833,sim
30,"thank u, next",Ariana Grande,831,sim
31,in my head,Ariana Grande,798,sim
32,BIRTHDAY,Somi,772,sim
33,Aftermath,Rob Simonsen,767,sim
34,NASA,Ariana Grande,766,sim
35,La Vie en Rose,IZ*ONE,760,sim
36,Rádio,Jão,737,sim
37,Kick It,BLACKPINK,730,sim
38,ICY,ITZY,710,sim
39,SHOOTING STAR,XG,685,sim
40,Julho,Jão,667,sim
41,Bon Bon Chocolat,Everglow,624,sim
42,Chillin' Chillin',ITZY,623,sim
43,MORE & MORE,TWICE,622,sim
44,A Dona Aranha,Luísa Sonza,621,sim
45,Kill This Love,BLACKPINK,619,sim
46,XOXO,JEON SOMI,598,sim
47,Forever Young,BLACKPINK,594,sim
48,DICE,NMIXX,582,sim
49,Funk Rave,Anitta,576,sim
50,FANCY,TWICE,575,sim
51,Te Deseo Lo Mejor,Christina Aguilera,572,nao
52,Back in My Arms,Carlie Hanson,566,nao
53,No,CLC,562,nao
54,LOCO,ITZY,556,nao
55,Is That Alright?,Lady Gaga,553,nao
56,How You Like That,BLACKPINK,548,nao
57,Feel Special,TWICE,540,nao
58,Principalmente Me Sinto Arrasada,Luísa Sonza,528,nao
59,Cheshire,ITZY,509,nao
60,Everything,Stella Smyth,503,nao
61,Side Effects,Carlie Hanson,501,nao
62,SOLO,Jennie,493,nao
63,I CAN'T STOP ME,TWICE,492,nao
64,All Too Well (10 Minute Version) (Taylor's Version) (From the Vault),Taylor Swift,487,nao
65,Pink Venom,BLACKPINK,484,nao
66,On & On,WONHO,477,nao
67,Tally,BLACKPINK,475,nao
68,Me Rehúso,Rebelde la Serie,462,nao
69,Smart,LE SSERAFIM,455,nao
70,Mine,IVE,452,nao
71,goodnight n go,Ariana Grande,450,nao
72,GOOD GIRL,HyunA,440,nao
73,Não Te Amo,Jão,433,nao
74,illicit affairs,Taylor Swift,431,nao
75,eternal sunshine,Ariana Grande,428,nao
76,tolerate it,Taylor Swift,417,nao
77,Say My Name,HYOLYN,416,nao
78,we can't be friends (wait for your love),Ariana Grande,415,nao
79,DUN DUN,Everglow,413,nao
80,"Young, Dumb, Stupid",NMIXX,407,nao
81,Cherry,Lana Del Rey,401,nao
82,Rockabye,Tia Tia,395,nao
83,Now That We Don't Talk (Taylor's Version) (From the Vault),Taylor Swift,392,nao
84,everytime,Ariana Grande,390,nao
85,SCIENTIST,TWICE,388,nao
86,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),Ariana Grande,386,nao
87,this is me trying,Taylor Swift,375,nao
88,LEFT RIGHT,XG,369,nao
89,fake smile,Ariana Grande,368,nao
90,WANT IT?,ITZY,365,nao
91,Deserve,Christina Aguilera,364,nao
92,MVSK,Kep1er,361,nao
93,Cigarettes,Carlie Hanson,360,nao
94,Anti-Hero,Taylor Swift,358,nao
95,Cinnamon Girl,Lana Del Rey,356,nao
96,Alcohol-Free,TWICE,356,nao
97,"break up with your girlfriend, i'm bored",Ariana Grande,355,nao
98,Gone,ROSÉ,347,nao
99,Ashley,Halsey,346,nao
100,Ice Cream (with Selena Gomez),BLACKPINK,343,nao
